ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
222,I am a developer by profession,"Employed, full-time",Fully remote,Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","School (i.e., University, College, etc)",,,18,11,"Developer, back-end",500 to 999 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Saudi Arabia,SAR	Saudi Arabian riyal,50000.0,Monthly,Erlang;Go;Java;JavaScript;Python;SQL,Go;Java;SQL,Couchbase;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,Couchbase,AWS;Google Cloud,AWS;Google Cloud;Microsoft Azure,Angular.js,,,,Docker;Kubernetes,Docker,GoLand;IntelliJ;Sublime Text;Visual Studio Code,GoLand;IntelliJ;Sublime Text;Visual Studio Code,macOS,macOS,Git,Command-line,,,Confluence;Jira Work Management,Confluence;Jira Work Management,Slack;Zoom,Slack;Zoom,Indifferent,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,160008.0
4295,I am a developer by profession,"Employed, full-time",Full in-person,Hobby;Contribute to open-source projects;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague;Hackathons (virtual or in-person)",Technical documentation;Blogs;Programming Games;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online forum;How-to videos;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded);Certification videos,Coursera;Udemy;edX;Udacity,10,6,"Data scientist or machine learning specialist;Developer, front-end;Engineer, data;Engineer, site reliability;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Developer, mobile;Engineering manager;Database administrator;DevOps specialist;Developer, embedded applications or devices;Developer, game or graphics;Project manager;Data or business analyst;Designer;Product manager;Senior Executive (C-Suite, VP, etc.);Security professional",10 to 19 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2Crowd;Research companies that have emailed me,Saudi Arabia,SAR	Saudi Arabian riyal,6000.0,Monthly,C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;Objective-C;PHP;Python;SQL;Swift;TypeScript;VBA,Dart;HTML/CSS;JavaScript;Kotlin;PHP;Python;SQL;Swift,Couchbase;CouchDB;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Firebase Realtime Database;SQLite,MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Firebase Realtime Database;SQLite,AWS;Firebase;Google Cloud;Microsoft Azure,Firebase;Microsoft Azure,Angular;Angular.js;ASP.NET;ASP.NET Core ;Blazor;Django;Express;Flask;jQuery;Laravel;Node.js;React.js;Svelte;Symfony;Vue.js,ASP.NET Core ;Express;Laravel;Svelte,Cordova;Flutter;Ionic;NumPy;Pandas;React Native;Scikit-learn;TensorFlow;Torch/PyTorch;Xamarin,Flutter;NumPy;Pandas;Scikit-learn;TensorFlow,Docker;npm;Unity 3D;Yarn,npm;Unity 3D,Android Studio;Atom;Eclipse;IntelliJ;IPython/Jupyter;NetBeans;Notepad++;PhpStorm;PyCharm;Vim;Visual Studio;Visual Studio Code;Webstorm;Xcode,Android Studio;IPython/Jupyter;Visual Studio;Visual Studio Code;Xcode,macOS;Windows,Linux-based;macOS;Windows,Git;SVN,Code editor;Command-line;Version control hosting service web GUI,,,Microsoft Planner;Stack Overflow for Teams;Swit,,Google Chat;Microsoft Teams;Slack;Zoom,Zoom,Indifferent,I have never visited Stack Overflow or the Stack Exchange network,,Yes,A few times per month or weekly,"Yes, definitely",25-34 years old,Man,No,Straight / Heterosexual,White;Middle Eastern;Asian;East Asian;Central Asian,None of the above,None of the above,Yes,Independent contributor,11.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Never,3-5 times a week,Never,Less than 15 minutes a day,Less than 15 minutes a day,Just right,Innersource initiative;DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,Yes,Yes,Appropriate in length,Neither easy nor difficult,19200.0
4557,I am a developer by profession,"Employed, full-time",Full in-person,Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",On the job training;Online Courses or Certification,,Udemy,14,8,"Developer, full-stack;Developer, mobile",100 to 499 employees,I have some influence,Start a free trial,Saudi Arabia,SAR	Saudi Arabian riyal,11000.0,Monthly,C#;Java;Kotlin;Swift,Java;Kotlin;Swift,MySQL;Firebase Realtime Database;SQLite,MySQL;Oracle;Firebase Realtime Database;SQLite,,,,,,,Docker,Docker,Android Studio;IntelliJ;Xcode,Android Studio;IntelliJ;PyCharm;Sublime Text;Visual Studio;Xcode,macOS,macOS,Git,Code editor,,,,,Google Chat;Slack;Zoom,Google Chat;Slack,Unsure,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",35-44 years old,Man,No,Prefer not to say,Asian,None of the above,None of the above,Yes,Independent contributor,8.0,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Never,Never,Never,30-60 minutes a day,15-30 minutes a day,Somewhat long,Microservices,No,Yes,Yes,Too long,Easy,35208.0
5550,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time","Hybrid (some remote, some in-person)",Hobby;Bootstrapping a business,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);Online Courses or Certification",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;How-to videos;Written-based Online Courses;Interactive tutorial,Coursera;Udemy;Codecademy;Pluralsight;edX,15,6,"Developer, front-end;Engineer, data;Engineer, site reliability;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Engineering manager;Academic researcher;Developer, embedded applications or devices;Project manager;Scientist;Product manager;System administrator","1,000 to 4,999 employees",I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Saudi Arabia,SAR	Saudi Arabian riyal,24000.0,Monthly,HTML/CSS;JavaScript;TypeScript,JavaScript;TypeScript,Cassandra;Elasticsearch;MySQL;PostgreSQL;Redis;SQLite,Cassandra;Elasticsearch;PostgreSQL;Redis;SQLite,AWS;DigitalOcean;Google Cloud;Microsoft Azure;OpenStack,AWS;Google Cloud;Microsoft Azure;OpenStack,Angular;Angular.js;Next.js;Node.js;React.js,Next.js;Node.js;React.js,Apache Kafka;Keras;NumPy;React Native;Scikit-learn;Spring;TensorFlow;Torch/PyTorch,Apache Kafka;Apache Spark;Keras;NumPy;React Native;Scikit-learn;TensorFlow;Torch/PyTorch,Ansible;Docker;npm;Terraform;Yarn,Docker;Kubernetes;npm;Pulumi;Terraform;Yarn,Android Studio;IntelliJ;Nano;Sublime Text;Vim;Visual Studio Code;Webstorm;Xcode,Android Studio;IntelliJ;Nano;Sublime Text;Vim;Visual Studio Code,Linux-based;macOS;Windows Subsystem for Linux (WSL),macOS,Git,Code editor;Command-line;Version control hosting service web GUI,,,monday.com;Notion,Notion,Microsoft Teams;Slack;Zoom,Microsoft Teams;Slack,Favorable,Collectives on Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, definitely",25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder",Yes,People manager,7.0,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,10+ times a week,1-2 times a week,1-2 times a week,30-60 minutes a day,Less than 15 minutes a day,Very long,Innersource initiative;DevOps function;Continuous integration (CI) and (more often) continuous delivery;Observability tools,Yes,Yes,Yes,Too long,Neither easy nor difficult,76800.0
6075,I am a developer by profession,"Employed, full-time",Full in-person,Contribute to open-source projects;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Colleague","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Written-based Online Courses",,20,13,"Developer, full-stack;Engineering manager;Other (please specify):",100 to 499 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Saudi Arabia,SAR	Saudi Arabian riyal,,Monthly,Java;JavaScript;SQL;TypeScript,Java;Kotlin;TypeScript,MongoDB;PostgreSQL;Redis,MongoDB;Redis,AWS;Microsoft Azure;Oracle Cloud Infrastructure,,Angular,Angular,Spring,Flutter;Spring,Docker;npm,npm,Eclipse;Notepad++;Visual Studio Code,Eclipse;Notepad++;Visual Studio Code,Linux-based;Windows,Linux-based;Windows,Git,Dedicated version control GUI application,,,Smartsheet,,Microsoft Teams;Zoom,Microsoft Teams,Unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",35-44 years old,Man,No,,"Or, in your own words:",None of the above,None of the above,Yes,People manager,14.0,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,1-2 times a week,6-10 times a week,Never,15-30 minutes a day,60-120 minutes a day,Very long,DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,Yes,Yes,Appropriate in length,Easy,
6270,I am a developer by profession,"Employed, full-time",Full in-person,Hobby;Contribute to open-source projects;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);Colleague",Online books;Video-based Online Courses;Written-based Online Courses;Coding sessions (live or recorded),,14,11,"Developer, full-stack;DevOps specialist",500 to 999 employees,I have some influence,Ask developers I know/work with,Saudi Arabia,SAR	Saudi Arabian riyal,,Monthly,Bash/Shell;Dart;Elixir;HTML/CSS;Julia;Kotlin;Python;Rust;SQL,Bash/Shell;Elixir;HTML/CSS;Julia;Python;Rust;SQL,CouchDB;MariaDB;Microsoft SQL Server;PostgreSQL,CouchDB;MariaDB;PostgreSQL,AWS;DigitalOcean;Microsoft Azure,DigitalOcean;Microsoft Azure,Deno;Flask;Laravel;Nuxt.js;Phoenix;Vue.js,Flask;Laravel;Nuxt.js;Phoenix;Vue.js,Flutter;NumPy;Pandas;Torch/PyTorch,Flutter;Pandas;Torch/PyTorch,Docker;Kubernetes;Yarn,Docker;Kubernetes,Neovim;Visual Studio Code,Visual Studio Code,Linux-based,Linux-based;Windows,Git,Code editor;Command-line,,,,,Microsoft Teams;Slack,Microsoft Teams,Very unfavorable,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,"Yes, somewhat",35-44 years old,Man,No,,Middle Eastern,,"I have a concentration and/or memory disorder (e.g., ADHD, etc.)",No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
6271,I am a developer by profession,"Employed, full-time",Full in-person,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","School (i.e., University, College, etc);Online Courses or Certification",,Pluralsight;Other,12,Less than 1 year,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications",500 to 999 employees,I have little or no influence,Other (please specify):,Saudi Arabia,SAR	Saudi Arabian riyal,12500.0,Monthly,Bash/Shell;HTML/CSS;Java;JavaScript;SQL;TypeScript,Kotlin;PowerShell;Python;Ruby;Swift,MySQL,Cassandra;Cloud Firestore;Microsoft SQL Server;MongoDB;Oracle;PostgreSQL;Firebase Realtime Database;Redis,,,Angular;Node.js,ASP.NET;ASP.NET Core ;Django;Express;Flask;jQuery;Laravel;Next.js;Nuxt.js;React.js;Ruby on Rails;Svelte;Vue.js,Spring,Flutter;Hadoop;Keras;NumPy;Pandas;React Native;Scikit-learn;Spring;TensorFlow;Torch/PyTorch,npm,Docker;Homebrew;Kubernetes;npm;Unity 3D;Unreal Engine;Yarn,Eclipse;Visual Studio Code,Android Studio;Atom;Eclipse;IntelliJ;NetBeans;Notepad++;PhpStorm;PyCharm;Sublime Text;Vim;Visual Studio;Visual Studio Code;Webstorm;Xcode,Windows,Linux-based;macOS;Windows;Windows Subsystem for Linux (WSL),Git,Command-line,,,,,Microsoft Teams;Zoom,Microsoft Teams,Indifferent,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Less than once per month or monthly,"No, not really",18-24 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Yes,Independent contributor,0.0,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly disagree,Never,10+ times a week,3-5 times a week,15-30 minutes a day,15-30 minutes a day,Very long,DevOps function;Microservices;Developer portal or other central places to find tools/services,Yes,No,No,Appropriate in length,Easy,40008.0
6506,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification",Stack Overflow;Online books;Video-based Online Courses;How-to videos,Coursera;Udemy;Udacity,7,4,"Engineer, data;Academic researcher;Scientist",2 to 9 employees,I have some influence,Start a free trial,Saudi Arabia,SAR	Saudi Arabian riyal,,,HTML/CSS;MATLAB;Python;SQL,HTML/CSS;MATLAB;Python;SQL,DynamoDB;MongoDB;MySQL;PostgreSQL,DynamoDB;MongoDB;MySQL;PostgreSQL,AWS;Google Cloud,AWS;Google Cloud,,,,,,,PyCharm;Spyder;Visual Studio Code,Spyder;Visual Studio Code,Linux-based;macOS,Linux-based;macOS,Git,Code editor;Command-line,,,,,Zoom,Zoom,Indifferent,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Yes,Independent contributor,3.0,Strongly agree,Strongly disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,3-5 times a week,3-5 times a week,Never,15-30 minutes a day,Less than 15 minutes a day,Somewhat long,None of these,No,Yes,Yes,Too long,Easy,
7539,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification;Colleague",Technical documentation;Blogs;Written Tutorials;Online books;Video-based Online Courses;Written-based Online Courses,Udemy;Pluralsight;Udacity;Other,10,6,"Developer, back-end;Developer, desktop or enterprise applications;Developer, embedded applications or devices","5,000 to 9,999 employees",I have some influence,Start a free trial;Ask developers I know/work with,Saudi Arabia,SAR	Saudi Arabian riyal,,Monthly,C#;Java,C#;C++;Java,Microsoft SQL Server,,Microsoft Azure,,ASP.NET;ASP.NET Core ,ASP.NET Core ,.NET,.NET,Docker;Homebrew,Docker;Homebrew,IntelliJ;Visual Studio;Visual Studio Code;Xcode,IntelliJ;Visual Studio;Visual Studio Code;Xcode,Windows,macOS;Windows;Windows Subsystem for Linux (WSL),Git,Code editor;Command-line,,,Jira Work Management,Jira Work Management,Microsoft Teams,,Unfavorable,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Yes,People manager,5.0,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,1-2 times a week,6-10 times a week,1-2 times a week,15-30 minutes a day,30-60 minutes a day,Somewhat long,DevOps function;Microservices;Developer portal or other central places to find tools/services,Yes,No,No,Appropriate in length,Easy,
8141,I code primarily as a hobby,"Not employed, and not looking for work",,,Primary/elementary school,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;How-to videos;Interactive tutorial,,5,,,,,,Saudi Arabia,,,,Assembly;C;C++;HTML/CSS;Java;Lua;Python;Rust,Bash/Shell;C#;Crystal;Haskell;JavaScript;OCaml;PowerShell;R;Ruby;SQL;Swift;TypeScript,,,,,,,.NET;Qt,Flutter;GTK;Keras;NumPy;Scikit-learn;Torch/PyTorch,,,Visual Studio Code,,,Windows;Windows Subsystem for Linux (WSL),Git,Code editor;Command-line;Version control hosting service web GUI,,,ClickUp;Trello,Jira Work Management,,,Unfavorable,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,Less than once per month or monthly,"No, not really",Under 18 years old,Man,No,Straight / Heterosexual,Middle Eastern,Prefer not to say,"I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
